          Pick 4 Día   '2016-08-01'   '4549'
          Pick 4 Día   '2016-08-02'   '2488'
          Pick 4 Día   '2016-08-03'   '1047'
          Pick 4 Día   '2016-08-04'   '1026'
          Pick 4 Día   '2016-08-05'   '9233'
          Pick 4 Día   '2016-08-06'   '3967'
          Pick 4 Día   '2016-08-07'   '0223'
          Pick 4 Día   '2016-08-08'   '2175'
          Pick 4 Día   '2016-08-09'   '0292'
          Pick 4 Día   '2016-08-10'   '3647'
          Pick 4 Día   '2016-08-11'   '7525'
          Pick 4 Día   '2016-08-12'   '8200'
          Pick 4 Día   '2016-08-13'   '5531'
          Pick 4 Día   '2016-08-14'   '3308'
          Pick 4 Día   '2016-08-15'   '0706'
          Pick 4 Día   '2016-08-16'   '6184'
          Pick 4 Día   '2016-08-17'   '6136'
          Pick 4 Día   '2016-08-18'   '2684'
          Pick 4 Día   '2016-08-19'   '9534'
          Pick 4 Día   '2016-08-20'   '2344'
          Pick 4 Día   '2016-08-21'   '2638'
          Pick 4 Día   '2016-08-22'   '0294'
          Pick 4 Día   '2016-08-23'   '9291'
          Pick 4 Día   '2016-08-24'   '9481'
          Pick 4 Día   '2016-08-25'   '8142'
          Pick 4 Día   '2016-08-26'   '6731'
          Pick 4 Día   '2016-08-27'   '2047'
          Pick 4 Día   '2016-08-28'   '3104'
          Pick 4 Día   '2016-08-29'   '9063'
          Pick 4 Día   '2016-08-30'   '7311'
          Pick 4 Día   '2016-08-31'   '1005'
          Pick 4 Día   '2016-09-01'   '1165'
          Pick 4 Día   '2016-09-02'   '5002'
          Pick 4 Día   '2016-09-03'   '8986'
          Pick 4 Día   '2016-09-04'   '2858'
          Pick 4 Día   '2016-09-05'   '3602'
          Pick 4 Día   '2016-09-06'   '4878'
          Pick 4 Día   '2016-09-07'   '3650'
          Pick 4 Día   '2016-09-08'   '6136'
          Pick 4 Día   '2016-09-09'   '4585'
          Pick 4 Día   '2016-09-10'   '9581'
          Pick 4 Día   '2016-09-11'   '5450'
          Pick 4 Día   '2016-09-12'   '0788'
          Pick 4 Día   '2016-09-13'   '7423'
          Pick 4 Día   '2016-09-14'   '3098'
          Pick 4 Día   '2016-09-15'   '8564'
          Pick 4 Día   '2016-09-16'   '6014'
          Pick 4 Día   '2016-09-17'   '5890'
          Pick 4 Día   '2016-09-18'   '9196'
          Pick 4 Día   '2016-09-19'   '8081'
          Pick 4 Día   '2016-09-20'   '8127'
          Pick 4 Día   '2016-09-21'   '7919'
          Pick 4 Día   '2016-09-22'   '3318'
          Pick 4 Día   '2016-09-23'   '9312'
          Pick 4 Día   '2016-09-24'   '4053'
          Pick 4 Día   '2016-09-25'   '1290'
          Pick 4 Día   '2016-09-26'   '1618'
          Pick 4 Día   '2016-09-27'   '5424'
          Pick 4 Día   '2016-09-28'   '4977'
          Pick 4 Día   '2016-09-29'   '3410'
          Pick 4 Día   '2016-09-30'   '8975'
          Pick 4 Día   '2016-10-01'   '8107'
          Pick 4 Día   '2016-10-02'   '5044'
          Pick 4 Día   '2016-10-03'   '4789'
          Pick 4 Día   '2016-10-04'   '9214'
          Pick 4 Día   '2016-10-05'   '0014'
          Pick 4 Día   '2016-10-06'   '1356'
          Pick 4 Día   '2016-10-07'   '1473'
          Pick 4 Día   '2016-10-08'   '5857'
          Pick 4 Día   '2016-10-09'   '5713'
          Pick 4 Día   '2016-10-10'   '9358'
          Pick 4 Día   '2016-10-11'   '2784'
          Pick 4 Día   '2016-10-12'   '5888'
          Pick 4 Día   '2016-10-13'   '1936'
          Pick 4 Día   '2016-10-14'   '5981'
          Pick 4 Día   '2016-10-15'   '2566'
          Pick 4 Día   '2016-10-16'   '4694'
          Pick 4 Día   '2016-10-17'   '0840'
          Pick 4 Día   '2016-10-18'   '7274'
          Pick 4 Día   '2016-10-19'   '2361'
          Pick 4 Día   '2016-10-20'   '3969'
          Pick 4 Día   '2016-10-21'   '9300'
          Pick 4 Día   '2016-10-22'   '4748'
          Pick 4 Día   '2016-10-23'   '1993'
          Pick 4 Día   '2016-10-24'   '6929'
          Pick 4 Día   '2016-10-25'   '3278'
          Pick 4 Día   '2016-10-26'   '7749'
          Pick 4 Día   '2016-10-27'   '4177'
          Pick 4 Día   '2016-10-28'   '7089'
          Pick 4 Día   '2016-10-29'   '5540'
          Pick 4 Día   '2016-10-30'   '1729'
          Pick 4 Día   '2016-10-31'   '7779'
          Pick 4 Día   '2016-11-01'   '8100'
          Pick 4 Día   '2016-11-02'   '1558'
          Pick 4 Día   '2016-11-03'   '0484'
          Pick 4 Día   '2016-11-04'   '5654'
          Pick 4 Día   '2016-11-05'   '8320'
          Pick 4 Día   '2016-11-06'   '6855'
          Pick 4 Día   '2016-11-07'   '2103'
          Pick 4 Día   '2016-11-08'   '0415'
          Pick 4 Día   '2016-11-09'   '6821'
          Pick 4 Día   '2016-11-10'   '3667'
          Pick 4 Día   '2016-11-11'   '9726'
          Pick 4 Día   '2016-11-12'   '5173'
          Pick 4 Día   '2016-11-13'   '5443'
          Pick 4 Día   '2016-11-14'   '1706'
          Pick 4 Día   '2016-11-15'   '3854'
          Pick 4 Día   '2016-11-16'   '7608'
          Pick 4 Día   '2016-11-17'   '3845'
          Pick 4 Día   '2016-11-18'   '5185'
          Pick 4 Día   '2016-11-19'   '3048'
          Pick 4 Día   '2016-11-20'   '7195'
